crop,in_scope,pp_passes_low,pp_passes_base,pp_passes_high,basis,source_title,source_url,source_grade,needs_check,note
Moong,Y,1,2,4,recommended_schedule,"NIPHM / DPPQ&S, 'AESA based IPM - Blackgram & Greengram' (2014)",https://farmer.gov.in/imagedefault/ipm/Blackgram_Greengram.pdf,C,Y,"Low = one pod borer spray at pod development (chlorantraniliprole, lufenuron, monocrotophos or phenthoate are alternatives). Base adds one post-emergence grass herbicide at 15-20 DAS (fenoxaprop-p-ethyl, propaquizafop or quizalofop-ethyl); the package puts mechanical weeding first, so this is judgement. High adds the conditional whitefly spray (neem or pongamia soap) and the powdery mildew spray (penconazole). No survey found. Sourced 24 Sep 2026; left open because the count is schedule-only and needed judgement."
Jowar,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Tur,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Urad,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Guarseed,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Other Pulses,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Lentil,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Sesamum,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Ragi,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Castorseed,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Jute,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Barley,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Tobacco,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Small Millets,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Linseed,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Sunflower,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Nigerseed,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Safflower,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Mesta,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
Sannhemp,N,,,,not_modelled,,,,N,Outside the top crops by area; together about 14% of 2023-24 field-crop area. Stated as a limit in the README.
